ID_ORIGEN;LISTA_CARGA;FECHA_INGRESO;FECHA_EMISION;TOT_LPN;TOT_UNI;FECHA_RECEPCION;DESTINO;DESC_ZONA;ESTADO;MNFST
31;623964;2022-10-14 19:46:03.0;2022-10-14 19:53:43.0;47;587;2022-10-17 09:50:35.0;49;BODEGA EXTERNA LOGINSA;Recepcionada;'623964',
16;623974;2022-10-15 18:00:34.0;2022-10-16 14:26:35.0;143;2011;2022-10-18 09:59:19.0;49;BODEGA EXTERNA LOGINSA;Recepcionada;'623974',
92;623976;2022-10-16 14:50:15.0;2022-10-17 11:01:34.0;12;156;null;49;BODEGA EXTERNA LOGINSA;Emitida;'623976',
8;623980;2022-10-17 08:33:33.0;2022-10-17 08:50:25.0;22;405;2022-10-17 11:36:14.0;49;BODEGA EXTERNA LOGINSA;Recepcionada;'623980',
8;623981;2022-10-17 08:35:11.0;2022-10-17 08:50:40.0;23;339;2022-10-17 11:36:26.0;49;BODEGA EXTERNA LOGINSA;Recepcionada;'623981',
8;623982;2022-10-17 08:36:07.0;2022-10-17 08:51:00.0;10;152;2022-10-17 11:36:35.0;49;BODEGA EXTERNA LOGINSA;Recepcionada;'623982',
74;623983;2022-10-17 09:42:23.0;2022-10-17 09:51:26.0;26;259;null;117;ALAMEDA NORTE;Emitida;'623983',
18;624023;2022-10-17 10:51:43.0;2022-10-17 11:54:30.0;61;1148;2022-10-18 13:24:55.0;49;BODEGA EXTERNA LOGINSA;Recepcionada;'624023',
14;624025;2022-10-17 12:05:25.0;2022-10-17 12:13:31.0;50;696;2022-10-18 09:55:48.0;49;BODEGA EXTERNA LOGINSA;Recepcionada;'624025',
67;624070;2022-10-17 12:37:53.0;2022-10-17 13:41:00.0;33;852;null;117;ALAMEDA NORTE;Emitida;'624070',
65;624072;2022-10-17 13:05:41.0;2022-10-18 10:13:28.0;141;2153;2022-10-18 12:04:56.0;49;BODEGA EXTERNA LOGINSA;Recepcionada;'624072',
3;624073;2022-10-17 14:01:26.0;2022-10-17 14:44:54.0;42;483;null;49;BODEGA EXTERNA LOGINSA;Emitida;'624073',
31;624074;2022-10-17 19:20:01.0;2022-10-17 19:35:28.0;9;105;null;49;BODEGA EXTERNA LOGINSA;Emitida;'624074',
30;624096;2022-10-17 19:43:08.0;2022-10-17 19:54:57.0;72;798;null;49;BODEGA EXTERNA LOGINSA;Emitida;'624096',
30;624097;2022-10-17 20:16:46.0;2022-10-17 20:26:42.0;72;1230;null;49;BODEGA EXTERNA LOGINSA;Emitida;'624097',
30;624098;2022-10-17 20:37:10.0;2022-10-17 20:40:04.0;72;925;null;49;BODEGA EXTERNA LOGINSA;Emitida;'624098',
77;624100;2022-10-18 10:31:26.0;2022-10-18 10:34:52.0;171;2261;2022-10-19 11:51:15.0;49;BODEGA EXTERNA LOGINSA;Recepcionada;'624100',
58;624102;2022-10-18 11:00:14.0;2022-10-18 11:03:37.0;127;1982;2022-10-18 12:27:55.0;49;BODEGA EXTERNA LOGINSA;Recepcionada;'624102',
76;624399;2022-10-18 11:58:26.0;2022-10-18 12:09:35.0;1;17;null;117;ALAMEDA NORTE;Emitida;'624399',
77;624401;2022-10-18 17:58:39.0;2022-10-18 18:01:14.0;4;55;2022-10-19 11:50:51.0;49;BODEGA EXTERNA LOGINSA;Recepcionada;'624401',
